Date,Player,Club Type,Club Speed,Attack Angle,Club Path,Club Face,Face to Path,Ball Speed,Smash Factor,Launch Angle,Launch Direction,Backspin,Sidespin,Spin Rate,Spin Rate Type,Spin Axis,Apex Height,Carry Distance,Carry Deviation Angle,Carry Deviation Distance,Total Distance,Total Deviation Angle,Total Deviation Distance
03/10/26 13:23:58 PM,Forrest,3 Hybrid,73.36268763,0.876479924,-8.541369438,-11.60365486,-3.062285423,110.3058098,1.503568276,8.836251259,-10.60026169,1896.220327,1094.783353,2189.56665,Estimated,30,6.311454243,118.8161696,-16.4544239,-33.65498664,164.8696695,-18.10918427,-51.24623854
03/10/26 13:42:52 PM,Forrest,Driver,84.48456484,8.941726685,-1.919228673,-9.912991524,-7.993762851,125.6758044,1.487559351,12.01289368,-8.382903099,1515.035844,874.7063819,1749.41272,Measured,30,13.05367978,170.4733393,-15.07370472,-44.33350608,205.586028,-16.21837234,-57.41994392
03/10/26 13:45:41 PM,Forrest,Driver,83.38172101,1.182507396,-8.023515701,-1.237787366,6.785728335,123.6649391,1.483118093,9.437639236,-2.020705223,2576.142462,-533.2216269,2630.748047,Estimated,-11.69420242,12.8634861,170.9970678,1.482925415,4.425370882,196.5586071,1.958647013,6.718121883
03/10/26 13:37:18 PM,Forrest,3 Wood,75.05981155,-7.517243385,-7.194708347,-8.592868805,-1.398160458,111.2950165,1.482751078,8.499098778,-7.958630085,3438.242565,746.7032925,3518.391357,Measured,12.25298595,9.500831151,138.6251806,-11.99486732,-28.80963432,165.8784956,-12.59834576,-36.18057499
03/10/26 13:18:48 PM,Forrest,7 Iron,67.89102373,-4.310257435,-8.404643059,-12.30783844,-3.903195381,100.3872296,1.478652466,15.31794453,-11.16158581,2770.851274,-940.3126195,2926.056152,Measured,-18.74509239,14.23677682,133.4951776,-6.089175224,-14.16069455,150.9714483,-5.41236496,-14.24016745
03/10/26 13:34:20 PM,Forrest,3 Wood,75.19237535,-9.738791466,-0.754910767,-1.945691705,-1.190780938,111.0059788,1.476293018,12.57898426,-1.692695141,1753.59707,416.4609877,1802.371338,Estimated,13.35965157,11.59776332,146.9352428,-4.596700668,-11.77567207,178.0521089,-5.096429825,-15.81686917
03/10/26 13:42:28 PM,Forrest,Driver,85.96208595,-0.532542944,-5.635106087,-8.237312317,-2.60220623,126.7651145,1.474663081,8.405982971,-7.471418858,2257.190955,-398.0371474,2292.017578,Estimated,-10.00082397,10.91616011,170.4269322,-4.919203281,-14.61432838,207.5584578,-4.395697117,-15.90814932
03/10/26 13:47:58 PM,Forrest,Driver,84.44218026,-0.361185759,-7.66611433,-4.193704605,3.472409725,124.2161604,1.471020289,9.78137207,-4.404042244,2116.294379,-1221.84317,2443.686279,Estimated,-30,11.22686057,161.3022415,3.34895587,9.422814209,195.0530691,4.771589756,16.22529731
03/10/26 13:25:30 PM,Forrest,3 Hybrid,75.20764984,-2.050710201,-6.379949093,-6.888978004,-0.509028912,110.6153955,1.470799789,13.71845627,-6.457066536,3425.599215,7.932111345,3425.608398,Estimated,0.132670417,17.52573995,155.9986079,-6.824495792,-18.53712963,173.1276258,-6.788245678,-20.46369671
03/10/26 13:39:01 PM,Forrest,3 Wood,76.62429486,-4.302390099,-4.755191803,3.031482458,7.786674261,112.6212092,1.469784609,6.201387882,1.895125508,2663.868728,-624.3674601,2736.061279,Measured,-13.19108391,5.3831539,122.7830146,4.933678627,10.55976482,163.4962776,5.701555252,16.24284392
03/10/26 13:27:20 PM,Forrest,3 Hybrid,73.21177737,-5.15504837,-8.922204018,-4.268395901,4.653808117,107.3974273,1.466941947,11.29472637,-4.622565746,3303.697744,-244.2490859,3312.714355,Estimated,-4.228300571,12.35869342,141.7720823,-3.434844971,-8.494085734,160.2291529,-3.259246111,-9.109735819
03/10/26 13:39:26 PM,Forrest,3 Wood,71.88815315,-9.485915184,-8.784797668,-3.49724865,5.287549019,105.131768,1.462435233,8.879899025,-3.971935034,2167.931947,-1251.656232,2503.312256,Measured,-30.00000191,6.038786573,110.8172407,1.883879066,3.643090003,150.934436,3.514242172,9.25187759
03/10/26 13:41:20 PM,Forrest,Driver,83.50083644,3.175476074,-3.53134346,-7.212337017,-3.680993557,122.0797029,1.462017725,5.475208759,-6.366243839,1931.6635,-558.5035327,2010.783447,Estimated,-16.12621307,4.42251476,125.1805014,-3.542376757,-7.734557884,179.3610381,-2.637227058,-8.25278848
03/10/26 13:43:27 PM,Forrest,Driver,83.92431529,3.278321266,-6.206707478,3.311666727,9.518374205,122.3978987,1.458431901,13.93225956,1.943651676,2381.606672,-791.1725984,2509.58252,Estimated,-18.37654877,19.542927,182.4460051,7.988392353,25.35495767,202.9086964,8.57888031,30.26806221
03/10/26 13:44:38 PM,Forrest,Driver,85.9688784,4.038781643,-6.414023876,-0.644656599,5.769367278,125.0521273,1.454620901,11.83423233,-1.332103133,2197.875404,-343.666624,2224.581543,Measured,-8.886984825,16.4172421,183.9537125,1.242538095,3.98931678,207.4933943,1.544336915,5.591774962
03/10/26 13:42:03 PM,Forrest,Driver,83.99642113,1.229726195,-1.890069246,-3.331540823,-1.441471577,122.0946788,1.453570011,8.854221344,-2.973102093,2434.40038,-449.6100623,2475.571533,Estimated,-10.46405792,10.98328968,163.0713542,-0.121946558,-0.346852483,195.5001532,0.382061183,1.30369013
03/10/26 13:40:29 PM,Forrest,Driver,85.78007205,0.172538877,-6.550273418,-4.375986576,2.174286842,124.6289642,1.452889479,12.28418255,-4.414150715,3267.319739,-250.6030622,3276.91626,Estimated,-4.385992527,20.92495035,185.4547449,-2.919267178,-9.445091652,202.0553285,-2.758253813,-9.723224909
03/10/26 13:31:15 PM,Forrest,3 Hybrid,77.80307594,-5.542085648,-8.414258003,-4.363822937,4.050435066,112.880995,1.450855171,9.779762268,-4.637394428,2726.421665,1075.113458,2930.741211,Measured,21.52087021,10.09027499,142.2139766,-10.78912163,-26.62174531,171.6390587,-11.84078979,-35.21913226
03/10/26 13:40:55 PM,Forrest,Driver,86.13621514,2.457411766,-8.477503777,0.44257611,8.920079887,124.5166754,1.445578671,14.9192667,-0.69722259,2470.123092,-421.0505179,2505.751709,Estimated,-9.673508644,23.22022164,193.2202446,2.628379822,8.860829191,212.3737731,2.924224854,10.83427799
03/10/26 13:36:22 PM,Forrest,3 Wood,78.14746024,-2.263688087,-6.804427624,1.097402692,7.901830316,112.6555128,1.441576124,8.498846054,0.050013941,2971.140628,6.812394534,2971.148438,Estimated,0.131370679,9.294266267,142.0174679,0,0.033783301,173.6411084,0,0.019482342
03/10/26 13:45:07 PM,Forrest,Driver,83.07891916,-0.857482135,-6.453489304,2.075538158,8.529027462,119.3884998,1.437049266,11.92161083,0.897388399,2402.941844,-50.73069397,2403.477295,Measured,-1.209443688,15.42416977,171.9336383,1.289526343,3.869702761,194.590833,1.327069521,4.507021989
03/10/26 13:47:00 PM,Forrest,Driver,83.59337937,-2.167290926,-5.687464714,-10.40238857,-4.714923859,120.043016,1.436034969,12.62526989,-9.25641346,1962.649052,-892.8597348,2156.197998,Estimated,-24.46201324,14.73938556,167.9557045,-3.020705938,-8.850825201,192.7532526,-2.146395445,-7.219206356
03/10/26 13:35:59 PM,Forrest,3 Wood,78.41418357,0.040435027,-9.119094849,-2.888847113,6.230247736,112.5868203,1.435796627,1.759921789,-3.514009714,2805.749486,-257.8195378,2817.570068,Estimated,-5.25014925,0.955350007,75.66450272,-2.788111687,-3.68052779,144.2369354,-2.425031424,-6.103055329
03/10/26 13:46:09 PM,Forrest,Driver,82.65283767,0.7397964,-6.331459522,-12.24585533,-5.914395809,118.6332914,1.435320248,9.970038414,-10.85126019,1828.431815,1055.645717,2111.29126,Measured,30.00000191,9.176876864,144.8488058,-17.6249733,-43.85807874,187.0989537,-19.16680908,-61.42825676
03/10/26 13:19:10 PM,Forrest,7 Iron,69.88643541,-4.018575668,-6.811443329,-7.66594696,-0.854503632,100.2888756,1.435026339,14.75819683,-7.149278164,7156.563818,-2065.843879,7448.766113,Measured,-16.1015358,17.59796434,126.3372097,-0.476012319,-1.049334928,134.9450721,-0.01978234,-0.032665257
03/10/26 13:36:52 PM,Forrest,3 Wood,76.32020449,-5.030296803,-6.063187599,2.566740036,8.629927635,109.4932922,1.434656693,12.11804867,1.349710226,2083.347555,-314.2857819,2106.920166,Estimated,-8.578733444,11.52629403,144.5369049,3.434560061,8.659114032,173.2249958,3.770553112,11.39136426
03/10/26 13:30:48 PM,Forrest,3 Hybrid,79.74185254,-1.862941265,-5.668880939,-6.716457367,-1.047576427,114.153966,1.431543942,9.491722107,-6.226380348,3184.131321,1538.143321,3536.181152,Measured,25.78357506,10.52488018,142.4386034,-14.43268681,-35.50173873,167.9654332,-15.69115639,-45.42650254
03/10/26 13:25:08 PM,Forrest,3 Hybrid,78.50930354,-4.41478157,-8.653775215,-3.276405573,5.377369642,112.1109644,1.427995911,8.88276577,-3.774134874,3533.637565,-823.9702936,3628.432373,Estimated,-13.12563896,10.53844585,143.0012131,0.375344187,0.937472124,166.4714094,0.998188078,2.90039148
03/10/26 13:32:47 PM,Forrest,3 Hybrid,75.43747546,-1.944102049,-9.709860802,-4.043688297,5.666172504,107.0492883,1.419046537,14.07067776,-4.536542892,3646.042593,-533.7402857,3684.902344,Estimated,-8.328312874,16.81967118,147.6441828,-1.765692234,-4.549240143,162.6465475,-1.474322915,-4.184615702
03/10/26 13:47:29 PM,Forrest,Driver,83.3795365,4.097234249,-10.19607162,-9.212207794,0.983863831,117.0617682,1.403962808,7.655811787,-8.842921257,1918.026234,-882.9790189,2111.510498,Measured,-24.71936417,6.305056779,130.0004141,-4.083030224,-9.256299704,177.1300898,-2.735020876,-8.452217489
03/10/26 13:20:29 PM,Forrest,7 Iron,69.65540234,-2.984719753,-8.441947937,-7.372977257,1.06897068,97.76014523,1.403482601,16.92197037,-7.11264658,4461.757306,-962.0805717,4564.304688,Measured,-12.16827679,17.52858095,129.7374401,-3.003287554,-6.797436257,141.5759907,-2.602936506,-6.429582578
03/10/26 13:16:47 PM,Forrest,7 Iron,68.70950177,-8.620661736,-16.013937,-3.866632938,12.14730406,96.13353144,1.399130091,14.52059841,-5.179916382,3850.77358,874.1435709,3948.744629,Measured,12.78966045,13.03539997,122.655032,-9.510001183,-20.26503532,137.8345399,-9.92679882,-23.76133616
03/10/26 13:26:59 PM,Forrest,3 Hybrid,78.63575755,-0.66344583,-8.253283501,-1.064895034,7.188388467,109.9215838,1.397857504,6.282612324,-1.907437563,2065.777336,278.7968042,2084.505615,Estimated,7.686182976,4.14800628,108.400889,-3.236098051,-6.119333716,155.6167876,-3.639110804,-9.877332463
03/10/26 13:12:54 PM,Forrest,7 Iron,72.76606091,-1.724328756,-5.866034985,-3.129538536,2.736496449,101.685348,1.397428234,17.68444061,-3.304673195,5159.744085,-183.3852325,5163.001953,Estimated,-2.035523176,21.32760471,142.0285315,-2.674519777,-6.627568143,148.0088654,-2.630910635,-6.793873013
03/10/26 13:29:46 PM,Forrest,3 Hybrid,75.10703447,-3.177815199,-6.721434116,2.672514439,9.393948555,104.7599153,1.394808303,7.35312748,1.354231119,2694.367312,640.5909931,2769.471436,Estimated,13.37388039,5.415576654,111.3869592,-1.535568595,-2.985012391,149.7486252,-2.303672552,-6.019235405
03/10/26 13:31:44 PM,Forrest,3 Hybrid,78.78554996,5.342331886,-4.550679207,-0.761513591,3.789165616,109.5613362,1.390627295,1.982242465,-1.194937348,1988.883888,-505.0911015,2052.017578,Estimated,-14.2494297,0.538990512,50.87868158,-0.10653118,-0.09606006,129.281637,0.566136837,1.277674748
03/10/26 13:09:29 PM,Forrest,7 Iron,69.7577073,-1.80180037,-7.118370056,-6.494094372,0.624275684,96.70576164,1.386309347,16.5508194,-6.225096703,4439.466108,98.12024585,4440.550293,Measured,1.266134381,16.69479965,128.1174778,-7.052324772,-15.72973683,140.3887281,-7.048707962,-17.22755803
03/10/26 13:19:38 PM,Forrest,7 Iron,70.12747797,-3.160546541,-8.072797775,-10.78936768,-2.716569901,96.90185538,1.381795812,14.08059788,-9.872756004,3664.759455,246.3196796,3673.028076,Measured,3.845240831,12.80098411,124.5948383,-11.4930172,-24.82533857,140.5727048,-11.572855,-28.2007655
03/10/26 13:10:33 PM,Forrest,7 Iron,69.88832552,-2.403342962,-8.092514038,3.473400593,11.56591463,96.44860407,1.380038846,17.74377441,1.840538025,4607.11557,-1087.993757,4733.840332,Estimated,-13.28725243,17.90912057,127.3458773,6.935226917,15.37665186,138.6108546,7.301782131,17.6168209
03/10/26 13:18:24 PM,Forrest,7 Iron,70.42324416,-7.969465256,-15.31157398,-4.347787857,10.96378613,96.71084745,1.373280209,16.04844666,-5.487263203,2771.351244,419.1413723,2802.867676,Measured,8.600280762,13.96408777,128.2339463,-8.109489441,-18.0893697,145.817933,-8.365509033,-21.2147219
03/10/26 13:22:38 PM,Forrest,7 Iron,67.72486458,-5.113506317,-15.41706944,-7.171117783,8.245951653,92.63517814,1.367816366,14.71378708,-7.819610596,5219.0599,-1979.219206,5581.746582,Estimated,-20.76818275,12.80633966,112.6569237,-0.891312718,-1.752576706,125.2531159,-0.135620937,-0.297658547
03/10/26 13:38:28 PM,Forrest,3 Wood,75.68156865,-2.89361167,-5.638137817,6.460292816,12.09843063,103.4151713,1.366451213,8.446043968,4.601147652,2230.613963,-78.55685879,2231.996826,Estimated,-2.016985893,5.814358538,111.6713011,5.052762508,9.835272315,152.2851333,5.141708851,13.64773764
03/10/26 13:41:42 PM,Forrest,Driver,84.61106151,0.652397573,-1.526316404,2.713374376,4.239690781,115.0585657,1.359852525,15.83772087,2.037843943,1378.766976,417.8323328,1440.68811,Estimated,16.85931778,16.42285631,167.3121617,-1.340858936,-3.915375692,193.2327933,-1.80818522,-6.097356642
03/10/26 13:12:16 PM,Forrest,7 Iron,72.82802073,-6.939894199,-6.40292263,-0.295666426,6.107256204,98.33519994,1.350238534,16.01512527,-1.044045568,3713.164973,-533.7599902,3751.332275,Estimated,-8.180116653,15.87816238,131.3800136,1.657647967,3.800509188,145.6330553,1.922033787,4.884711744
